Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/130000,0/1,0/1,73/10000
11/10000,43/1000,0/1,0/1,44263/32500,0/1,0/1,73/2500
