Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
0/1,441/10000,31/1000,239/2500,999/10000,217/2500,0/1,73/10000
0/1,441/10000,31/1000,239/2500,999/10000,217/2500,0/1,73/10000
0/1,441/10000,31/1000,239/2500,999/10000,217/2500,0/1,73/10000
0/1,441/10000,31/1000,239/2500,999/10000,217/2500,0/1,73/10000
0/1,441/10000,31/1000,239/2500,999/10000,217/2500,0/1,73/10000
0/1,441/10000,31/1000,239/2500,999/10000,217/2500,0/1,73/10000
0/1,441/10000,31/1000,239/2500,999/10000,217/2500,0/1,73/10000
0/1,441/10000,31/1000,239/2500,999/10000,217/2500,0/1,73/10000
0/1,441/10000,31/250,239/2500,999/10000,217/625,0/1,73/10000
0/1,441/10000,31/250,239/625,999/2500,217/625,0/1,73/2500
