delta_zcdp,epsilon,delta_fdp_first_term,delta_fdp_second_term,delta_fdp
5e-1,8.6713966458383198610191205895232251030349356444878,0.11951594648011454826173114903548890281719163323395,0.043946738079678129129903141693529032037817179224487,0.075569208400436419131828007341959870779374454009463
1e-1,11.722640147935651532147265159134133779078549105053,0.01593784774027477349511380244173106013733966051272,0.007288565476359811194488082037304807233992526982616,0.008649282263914962300625720404426252903347133530104
5e-2,12.673340690670768485878004085313284122055101191436,0.0071876301012951164607464533011028502000867617397522,0.0034589753684545644847928020629887545429825581307323,0.0037286547328405519759536512381140956571042036090199
1e-2,14.522906144822171446983689015849892625334233685326,0.0012032595964559290890787996232445018765745809698679,0.00062931454003122226937294831663516042994707101869153,0.00057394505642470681970585130660934144662750995117637
5e-3,15.217210567773134694022770052245397621018937758513,0.00056646871454182287887632482971204949487786518339353,0.00030431131551738399645155301342908241230533283694296,0.00026215739902443888242477181628296708257253234645057
1e-3,16.671625817753005514738379466518576477673896369144,0.00010083230192802020643900939882142363679156440992963,0.000056932943389514499042541576103446795718141638319913,0.000043899358538505707396467822717976841073422771609717
5e-4,17.245065819464075069415781819490493336700202445963,0.000048305515208102306100674121507155774077282427518941,0.000027758672765952590822532157470353456693012697185028,0.000020546842442149715278141964036802317384269730333913
1e-4,18.483080295871303064294530318268267558157098210106,0.0000088562578400062955137064183486125919576451566970225,0.0000052685555802536536383174393898953298229463005170846,0.0000035877022597526418753889789587172621346988561799379
5e-5,18.982625946909712141796808713532594953181983398303,0.0000042834769349324818831218755121259422155499067281363,0.0000025810959860248717026473136539968646950665449761979,0.0000017023809489076101804745618581290775204833617519384
1e-5,20.079003728602851376794634074850503858829093290368,0.00000079918861928917869129416632107541027477053185378212,0.0000004942955822795980317079836949787841098881157937771,0.00000030489303700958065958618262609662616488241606000502
5e-6,20.527414252511891213316665506019508421171241588988,0.00000038888426966683499530123218500562405902036155600156,0.0000002429246381894335398303919852717795195106032634833,0.00000014595963147740145547084019973384453950975829251826
1e-6,21.521828799067969562118118613180983807576065871147,0.000000073402757793625157552147918689318867239168182244025,0.0000000468098479862837367540821692621388583287166066436,0.000000026592909807341420798065749427180008910451575600425
5e-7,21.932157151401989509243193199895768006006022537999,0.000000035867111255981256498556525434030778849233657916716,0.000000023057054996829385905702548233220159186150574751606,0.00000001281005625915187059285397720081061966308308316511
1e-7,22.848643384774444806023779734079408980163099544135,0.0000000068261907889672244005317907629680409259289806841522,0.000000004463169023500193921458508761039234780070462754029,0.0000000023630217654670304790732820019288061458585179301232
5e-8,23.229191999621605469252182735167132394479132690962,0.0000000033457367780452253062454252601268201293197353897663,0.000000002202177940910436887105640797930570289405155827876,0.0000000011435588371347884191397844621962498399145795618903
1e-8,24.083612289644342893967378031699785250668467370652,0.00000000064071341209286112787843011060668142635558816345169,0.00000000042777202125601383521383049353084218596498232865559,0.0000000002129413908368472926645996170758392403906058347961
5e-9,24.440047614869050367248036389671519852744614253077,0.00000000031476915060470077763292636858478170476406450240579,0.0000000002113496671219615532561164727581972552314144933917,0.00000000010341948348273922437680989582658444953265000901409
1e-9,25.243520443806954596441795477402401337235647315159,0.000000000060569618448068124633908795020248184285873137650929,0.000000000041169040392398001022063883360812217995193926465378,0.000000000019400578055670123611844911659435966290679211185551
5e-10,25.579913226783424446330830495104039364625040104694,0.000000000029811628491212724746729617988107381679266560826718,0.000000000020362440418464517901226622709003314210541404726527,0.000000000009449188072748206845502995279104067468725156100191
1e-10,26.340588852722324353781974500154992685015224391761,0.0000000000057586515807111824275594578593993347898076463110525,0.0000000000039754522413878342678934447570522211403863630975679,0.0000000000017831993393233481596660131023471136494212832134846
5e-11,26.659979833330883491498426269077235612248255880349,0.0000000000028385734353220309110875357606969992850699062945729,0.0000000000019680291919905058780992498959943189827700758028856,0.0000000000008705442433315250329882858647026803022998304916873
1e-11,27.384043388357308604847965661029946077426326622372,0.00000000000055005245247028537729167363954245976805006650127929,0.00000000000038495659473661351086244385314976497768933093094609,0.0000000000001650958577336718664292297863926947903607355703332
5e-12,27.68877476808858225176812765629249164801567725676,0.00000000000027146940916474218262718084209251980978474008061732,0.00000000000019071441116167299861173168718149099397733237799836,0.00000000000008075499800306918401544915491102881580740770261896
1e-12,28.381051635506011029476758933037152955347792738288,0.000000000000052743057759962739394994749476152123542581004592985,0.000000000000037364628561385461983551637447640178509950043469064,0.000000000000015378429198577277411443112028511945032630961123921
5e-13,28.672972903541984920285976953238287225100388986965,0.000000000000026057479132542805424011539798804284638606490787946,0.00000000000001852291555084023357934075242975873463605350121689,0.000000000000007534563581702571844670787369045550002552989571056
1e-13,29.337313598087348845104741989269845770858738219659,0.0000000000000050738946182343998007918856224431728413503707823444,0.0000000000000036339948315954328542452697971779409728728851221335,0.0000000000000014398997866389669465466158252652318684774856602109
5e-14,29.6179154160482843634743070593699385793673520008,0.000000000000002508952425590959439445796789226499121784576115696,0.0000000000000018024886868589098108032067794833166244862909478298,7.064637387320496286425900097431824972982851678662e-16
1e-14,30.257450817366547623230352526301465048301079451376,4.8947511194318184978393646348174634598344548606598e-16,3.5405429581722920614449599671802559284956321312153e-16,1.3542081612595264363944046676372075313388227294445e-16
5e-15,30.527955487976122746188655674932495851322631771873,2.4222157196639813776235148233449663924254126995086e-16,1.7569831203257412936255162574827689334729851090021e-16,6.652325993382400839979985658621974589524275905065e-17
1e-15,31.145272105986784101591406607840672346123349451243,4.7333417256768520960186966724596575894331719131263e-17,3.4547814614787208978464522186143948942979288857999e-17,1.2785602641981311981722444538452626951352430273264e-17
5e-16,31.406696680118558309645077590595652834786008499968,2.3438959094221124044149287315366691309808795793042e-17,1.7151515476396864226034511382587479142510144839497e-17,6.287443617824259818114775932779212167298650953545e-18
1e-16,32.003960591742606128589060636536535116314196420213,4.5869109591632006069300324817125761485774702550425e-18,3.3756536813439915414793502878331083863784291476911e-18,1.2112572778192090654506821938794677621990411073514e-18
5e-17,32.257162093005765264931845755795889048265725622843,2.2727182864379282626968516733292822432481351600781e-18,1.6765050721816054831137453353352293513302814842534e-18,5.962132142563227795831063379940528919178536758247e-19
1e-17,32.836208805604974149044925216248429563399098368351,4.4532989667481885822027104643182116819583519609126e-19,3.3022721606915986870586206692652694073678649601203e-19,1.1510268060565898951440897950529422745904870007923e-19
5e-18,33.081917399939172930619037913190278354542549064983,2.2076548979106883215587650098397409683609507017708e-19,1.6405591616545182129276895955302417053437642476549e-19,5.670957362561701086310754143094992630171864541159e-20
1e-18,33.644318434466514340951067047549677876002701055978,4.3307258908998920980807134588496629948989735979529e-20,3.2325522288818577018723184127389566298835212216243e-20,1.0981736620180343962083950461107063650154523763286e-20
5e-19,33.883162253117756420097915483096338444294237761636,2.1478864641576600088167233702899664459892426004054e-20,1.6052587503317638205452249140840899940060064013234e-20,5.42627713825896188271498456205876451983236199082e-21
1e-19,34.430275418706666284962921321832790835830197126173,4.2177544180729173894004770726556916204205381053013e-21,3.1360419385373245340804221200592298829179116545993e-21,1.081712479535592855320054952596461737502626450702e-21
5e-20,34.66279946600543461736723779443149715203433404249,2.0927204571472261847605522997729180064294501290392e-21,1.532658409697508495515037186177194066111547794044e-21,5.600620474497176892455151135957239403179023349952e-22
1e-20,35.195807457205702753589268149701007717658186580736,4.1131910228999583480234436500030234629677804647412e-22,2.3719082185869268632580434773567560291939743256828e-22,1.7412828043130314847654001726462674337738061390584e-22
5e-21,35.422488239507887524770920519019079534739571817859,2.041602977239192021746773575024022750683102006313e-22,6.1996296890802662401157183437390870362154674852374e-23,1.4216400083311653977352017406501140470615552577893e-22
1e-21,35.942428709133580142812828852282397109413924529952,4.0160384459721830459848728087172884163568284533098e-23,-1.2532918789273910912841211624745366289978036771954e-22,1.6548957235246093958826084433462654706334865225264e-22
